ZipCode,State,CombinedRate
99501,AK,0
99502,AK,0
99503,AK,0
99504,AK,0
99505,AK,0
99506,AK,0
99507,AK,0
99508,AK,0
99509,AK,0
99510,AK,0
99511,AK,0
99513,AK,0
99514,AK,0
99515,AK,0
99516,AK,0
99517,AK,0
99518,AK,0
99519,AK,0
99520,AK,0
99521,AK,0
99522,AK,0
99523,AK,0
99524,AK,0
99529,AK,0
99530,AK,0
99540,AK,0
99550,AK,0
99554,AK,0.04
99556,AK,0.03
99558,AK,0
99559,AK,0.06
99567,AK,0
99568,AK,0.03
99572,AK,0.03
99573,AK,0
99574,AK,0.06
99576,AK,0.06
99577,AK,0
99583,AK,0.03
99586,AK,0
99587,AK,0
99588,AK,0
99590,AK,0
99599,AK,0
99602,AK,0
99603,AK,0.075
99605,AK,0.03
99608,AK,0
99609,AK,0.03
99610,AK,0.03
99611,AK,0.06
99612,AK,0.06
99615,AK,0.07
99621,AK,0.05
99622,AK,0
99623,AK,0
99624,AK,0.03
99631,AK,0.03
99633,AK,0
99634,AK,0.04
99635,AK,0.06
99636,AK,0
99639,AK,0.03
99643,AK,0.03
99644,AK,0.03
99645,AK,0
99649,AK,0
99652,AK,0
99653,AK,0
99654,AK,0
99655,AK,0.03
99659,AK,0
99663,AK,0.075
99664,AK,0.03
99665,AK,0
99666,AK,0.03
99669,AK,0.03
99672,AK,0.03
99674,AK,0
99675,AK,0
99676,AK,0
99679,AK,0.06
99682,AK,0.03
99683,AK,0
99684,AK,0.05
99685,AK,0.03
99686,AK,0
99688,AK,0
99689,AK,0.05
99691,AK,0
99692,AK,0.03
99694,AK,0.02
99701,AK,0
99702,AK,0
99703,AK,0
99704,AK,0.06
99705,AK,0
99706,AK,0
99707,AK,0
99708,AK,0
99709,AK,0
99712,AK,0
99714,AK,0
99720,AK,0
99721,AK,0
99722,AK,0
99724,AK,0
99726,AK,0
99729,AK,0
99730,AK,0
99731,AK,0
99732,AK,0
99733,AK,0
99737,AK,0
99740,AK,0.03
99741,AK,0.03
99743,AK,0
99744,AK,0.06
99745,AK,0
99746,AK,0
99747,AK,0
99748,AK,0
99752,AK,0.06
99754,AK,0
99755,AK,0
99756,AK,0
99757,AK,0
99758,AK,0
99759,AK,0
99760,AK,0.04
99762,AK,0.05
99764,AK,0
99765,AK,0
99766,AK,0.03
99767,AK,0
99768,AK,0
99774,AK,0
99775,AK,0
99776,AK,0
99777,AK,0.02
99780,AK,0
99781,AK,0
99788,AK,0
99789,AK,0
99801,AK,0.05
99824,AK,0.05
99827,AK,0.04
99829,AK,0.065
99830,AK,0.05
99833,AK,0.06
99835,AK,0.06
99836,AK,0.04
99840,AK,0.05
99841,AK,0.02
99901,AK,0.065
99921,AK,0.05
99925,AK,0.055
99928,AK,0.025
99929,AK,0.07
35004,AL,0.09
35005,AL,0.1
35006,AL,0.06
35007,AL,0.09
35010,AL,0.1
35013,AL,0.07
35014,AL,0.07
35015,AL,0.1
35016,AL,0.09
35019,AL,0.085
35020,AL,0.1
35021,AL,0.1
35022,AL,0.1
35023,AL,0.1
35031,AL,0.06
35032,AL,0.08
35033,AL,0.085
35034,AL,0.08
35035,AL,0.08
35036,AL,0.1
35038,AL,0.08
35040,AL,0.09
35042,AL,0.09
35043,AL,0.09
35044,AL,0.09
35045,AL,0.09
35046,AL,0.06
35048,AL,0.1
35049,AL,0.07
35051,AL,0.05
35052,AL,0.06
35053,AL,0.085
35054,AL,0.06
35055,AL,0.09
35056,AL,0.09
35057,AL,0.085
35058,AL,0.085
35060,AL,0.08
35061,AL,0.1
35062,AL,0.08
35063,AL,0.06
35064,AL,0.1
35068,AL,0.1
35070,AL,0.085
35071,AL,0.1
35072,AL,0.06
35073,AL,0.1
35074,AL,0.09
35077,AL,0.085
35078,AL,0.09
35079,AL,0.06
35080,AL,0.09
35082,AL,0.06
35083,AL,0.085
35085,AL,0.06
35087,AL,0.085
35089,AL,0.06
35091,AL,0.1
35094,AL,0.1
35096,AL,0.1
35097,AL,0.08
35098,AL,0.085
35111,AL,0.06
35112,AL,0.1
35114,AL,0.09
35115,AL,0.09
35116,AL,0.1
35117,AL,0.06
35118,AL,0.06
35119,AL,0.1
35120,AL,0.09
35121,AL,0.09
35123,AL,0.1
35124,AL,0.09
35125,AL,0.06
35126,AL,0.06
35127,AL,0.1
35128,AL,0.1
35130,AL,0.06
35131,AL,0.1
35133,AL,0.06
35135,AL,0.1
35136,AL,0.08
35137,AL,0.07
35139,AL,0.08
35142,AL,0.09
35143,AL,0.05
35146,AL,0.06
35147,AL,0.05
35148,AL,0.095
35149,AL,0.07
35150,AL,0.08
35151,AL,0.07
35160,AL,0.1
35171,AL,0.09
35172,AL,0.06
